idx,timestamp_us,kind,direction,score
8795,1704068079700000,removed_liquidity,1,7.753672526968309
8809,1704068081100000,imbalance_change,-1,14.344474981199836
8825,1704068082700000,imbalance_change,1,8.382048084656706
8841,1704068084300000,imbalance_change,1,14.005004902840232
8874,1704068087600000,signed_liquidity_delta,1,8.525291942866199
8890,1704068089200000,signed_liquidity_delta,-1,45.63115172870469
8907,1704068090900000,imbalance_change,-1,17.58196486980544
8928,1704068093000000,signed_liquidity_delta,-1,41.52369601322231
8944,1704068094600000,signed_liquidity_delta,-1,6.001559309959959
8957,1704068095900000,imbalance_change,-1,7.812179878646112
8983,1704068098500000,imbalance_change,-1,10.509932470097803
8996,1704068099800000,imbalance_change,1,7.932428621321094
9015,1704068101700000,imbalance_change,-1,9.429719448989152
9041,1704068104300000,imbalance_change,1,19.106142425640932
9065,1704068106700000,imbalance_change,-1,19.509584885694927
9075,1704068107700000,imbalance_change,-1,6.288657592454236
9087,1704068108900000,removed_liquidity,1,8.19166234628184
9106,1704068110800000,imbalance_change,1,49.368456257488354
9122,1704068112400000,imbalance_change,1,15.124510914049198
9147,1704068114900000,signed_liquidity_delta,-1,52.131928097302776
9163,1704068116500000,signed_liquidity_delta,1,7.9806915152609665
9173,1704068117500000,imbalance_change,1,10.575634095588178
9185,1704068118700000,imbalance_change,1,9.748888771777876
9199,1704068120100000,removed_liquidity,-1,6.4335286688695295
9226,1704068122800000,imbalance_change,-1,10.004467078209512
9250,1704068125200000,imbalance_change,1,16.79354539105256
9266,1704068126800000,removed_liquidity,-1,8.39713067986952
9279,1704068128100000,signed_liquidity_delta,1,10.69899882201467
9304,1704068130600000,signed_liquidity_delta,-1,22.053709078416098
9324,1704068132600000,removed_liquidity,1,7.118137592767196
9349,1704068135100000,imbalance_change,-1,7.134690203112681
9361,1704068136300000,imbalance_change,1,6.816740903531175
9394,1704068139600000,imbalance_change,1,13.208676688239306
9420,1704068142200000,imbalance_change,-1,10.1132838434703
9442,1704068144400000,signed_liquidity_delta,-1,15.651524166539645
9459,1704068146100000,removed_liquidity,-1,6.5853903606214095
9469,1704068147100000,removed_liquidity,0,8.003682198113296
9491,1704068149300000,signed_liquidity_delta,-1,169.17146348010732
9502,1704068150400000,signed_liquidity_delta,-1,10.194565284184918
9522,1704068152400000,imbalance_change,1,49.852313684166084
9542,1704068154400000,imbalance_change,1,12.303199578027256
9559,1704068156100000,signed_liquidity_delta,1,45.00569587362933
9570,1704068157200000,signed_liquidity_delta,1,36.1945408710623
9580,1704068158200000,imbalance_change,1,9.000141650385775
9597,1704068159900000,signed_liquidity_delta,1,25.168990451652157
9611,1704068161300000,removed_liquidity,-1,11.651860437242254
9622,1704068162400000,imbalance_change,1,22.765629044089504
9644,1704068164600000,imbalance_change,-1,37.49366217202338
9657,1704068165900000,imbalance_change,1,12.721370775637789
9676,1704068167800000,imbalance_change,-1,14.99211012760884
9708,1704068171000000,signed_liquidity_delta,1,6.980170806308059
9728,1704068173000000,removed_liquidity,1,8.770378522957925
9757,1704068175900000,signed_liquidity_delta,1,14.699516714068814
9769,1704068177100000,signed_liquidity_delta,1,19.51537030377332
9781,1704068178300000,imbalance_change,1,9.685849253309318
9794,1704068179600000,signed_liquidity_delta,1,13.432955566343235
9846,1704068184800000,imbalance_change,-1,17.581531157494855
9874,1704068187600000,imbalance_change,-1,10.433936929355992
9885,1704068188700000,removed_liquidity,1,6.071630301216399
9900,1704068190200000,signed_liquidity_delta,-1,40.05682206453849
9919,1704068192100000,signed_liquidity_delta,-1,50.672357219487225
9929,1704068193100000,signed_liquidity_delta,-1,7.2003062281944645
9941,1704068194300000,signed_liquidity_delta,1,6.1705732357684795
9956,1704068195800000,removed_liquidity,-1,7.703385071344713
9983,1704068198500000,imbalance_change,1,9.164764460713204
10003,1704068200500000,removed_liquidity,-1,7.7647364810089865
10016,1704068201800000,imbalance_change,-1,21.483488389915735
10041,1704068204300000,signed_liquidity_delta,1,53.197133148231785
10059,1704068206100000,signed_liquidity_delta,1,62.73442205427246
10080,1704068208200000,signed_liquidity_delta,1,42.098552020138946
10103,1704068210500000,imbalance_change,-1,30.670290859961014
10123,1704068212500000,imbalance_change,-1,10.470024167744583
10140,1704068214200000,removed_liquidity,-1,9.673589764594785
10153,1704068215500000,signed_liquidity_delta,-1,14.744900083035915
